X,Y,Z,formation
600,1000,600,rock1
800,0,400,rock1
800,35,400,rock1
800,71,400,rock1
800,107,400,rock1
800,142,400,rock1
800,178,400,rock1
800,214,400,rock1
800,250,400,rock1
800,285,400,rock1
800,321,400,rock1
800,357,400,rock1
800,392,400,rock1
800,428,400,rock1
800,464,400,rock1
800,500,400,rock1
800,535,400,rock1
800,571,400,rock1
800,607,400,rock1
800,642,400,rock1
800,678,400,rock1
800,714,400,rock1
800,750,400,rock1
800,785,400,rock1
800,821,400,rock1
800,857,400,rock1
800,892,400,rock1
800,928,400,rock1
800,964,400,rock1
800,1000,400,rock1
1000,0,200,rock1
1000,35,200,rock1
1000,71,200,rock1
1000,107,200,rock1
1000,142,200,rock1
1000,178,200,rock1
1000,214,200,rock1
1000,250,200,rock1
1000,285,200,rock1
1000,321,200,rock1
1000,357,200,rock1
1000,392,200,rock1
1000,428,200,rock1
1000,464,200,rock1
1000,500,200,rock1
1000,535,200,rock1
1000,571,200,rock1
1000,607,200,rock1
1000,642,200,rock1
1000,678,200,rock1
1000,714,200,rock1
1000,750,200,rock1
1000,785,200,rock1
1000,821,200,rock1
1000,857,200,rock1
1000,892,200,rock1
1000,928,200,rock1
1000,964,200,rock1
1000,1000,200,rock1
0,0,400,rock2
0,35,400,rock2
0,71,400,rock2
0,107,400,rock2
0,142,400,rock2
0,178,400,rock2
0,214,400,rock2
0,250,400,rock2
0,285,400,rock2
0,321,400,rock2
0,357,400,rock2
0,392,400,rock2
0,428,400,rock2
0,464,400,rock2
0,500,400,rock2
0,535,400,rock2
0,571,400,rock2
0,607,400,rock2
0,642,400,rock2
0,678,400,rock2
0,714,400,rock2
0,750,400,rock2
0,785,400,rock2
0,821,400,rock2
0,857,400,rock2
0,892,400,rock2
0,928,400,rock2
0,964,400,rock2
0,1000,400,rock2
200,0,600,rock2
200,35,600,rock2
200,71,600,rock2
200,107,600,rock2
200,142,600,rock2
200,178,600,rock2
200,214,600,rock2
200,250,600,rock2
200,285,600,rock2
200,321,600,rock2
200,357,600,rock2
200,392,600,rock2
200,428,600,rock2
200,464,600,rock2
200,500,600,rock2
200,535,600,rock2
200,571,600,rock2
200,607,600,rock2
200,642,600,rock2
200,678,600,rock2
200,714,600,rock2
200,750,600,rock2
200,785,600,rock2
200,821,600,rock2
200,857,600,rock2
200,892,600,rock2
200,928,600,rock2
200,964,600,rock2
200,1000,600,rock2
400,0,800,rock2
400,35,800,rock2
400,71,800,rock2
400,107,800,rock2
400,142,800,rock2
400,178,800,rock2
400,214,800,rock2
400,250,800,rock2
400,285,800,rock2
400,321,800,rock2
400,357,800,rock2
400,392,800,rock2
400,428,800,rock2
400,464,800,rock2
400,500,800,rock2
400,535,800,rock2
400,571,800,rock2
400,607,800,rock2
400,642,800,rock2
400,678,800,rock2
400,714,800,rock2
400,750,800,rock2
400,785,800,rock2
400,821,800,rock2
400,857,800,rock2
400,892,800,rock2
400,928,800,rock2
400,964,800,rock2
400,1000,800,rock2
600,0,800,rock2
600,35,800,rock2
600,71,800,rock2
600,107,800,rock2
600,142,800,rock2
600,178,800,rock2
600,214,800,rock2
600,250,800,rock2
600,285,800,rock2
600,321,800,rock2
600,357,800,rock2
600,392,800,rock2
600,428,800,rock2
600,464,800,rock2
600,500,800,rock2
600,535,800,rock2
600,571,800,rock2
600,607,800,rock2
600,642,800,rock2
600,678,800,rock2
600,714,800,rock2
600,750,800,rock2
600,785,800,rock2
600,821,800,rock2
600,857,800,rock2
600,892,800,rock2
600,928,800,rock2
600,964,800,rock2
600,1000,800,rock2
800,0,600,rock2
800,35,600,rock2
800,71,600,rock2
800,107,600,rock2
800,142,600,rock2
800,178,600,rock2
800,214,600,rock2
800,250,600,rock2
800,285,600,rock2
800,321,600,rock2
800,357,600,rock2
800,392,600,rock2
800,428,600,rock2
800,464,600,rock2
800,500,600,rock2
800,535,600,rock2
800,571,600,rock2
800,607,600,rock2
800,642,600,rock2
800,678,600,rock2
800,714,600,rock2
800,750,600,rock2
800,785,600,rock2
800,821,600,rock2
800,857,600,rock2
800,892,600,rock2
800,928,600,rock2
800,964,600,rock2
800,1000,600,rock2
1000,0,400,rock2
1000,35,400,rock2
1000,71,400,rock2
1000,107,400,rock2
1000,142,400,rock2
1000,178,400,rock2
1000,214,400,rock2
1000,250,400,rock2
1000,285,400,rock2
1000,321,400,rock2
1000,357,400,rock2
1000,392,400,rock2
1000,428,400,rock2
1000,464,400,rock2
1000,500,400,rock2
1000,535,400,rock2
1000,571,400,rock2
1000,607,400,rock2
1000,642,400,rock2
1000,678,400,rock2
1000,714,400,rock2
1000,750,400,rock2
1000,785,400,rock2
1000,821,400,rock2
1000,857,400,rock2
1000,892,400,rock2
1000,928,400,rock2
1000,964,400,rock2
1000,1000,400,rock2
