Line,Station,East_KKJ,North_KKJ,Lon_Intl24,Lat_Intl24,Elev_m,Orig_Boug267,Terr_corr,Curv_corr,Boug310,TC_Boug310,TC+Curv310
1,492980,3492980,7510000,26.8344612,67.6764526,212.67,-23.65,0.033,0.296,-27.45,-27.412,-27.707
1,492999,3492999,7510000,26.8349094,67.6764526,210.13,-23.57,0.026,0.292,-27.365,-27.336,-27.628
1,493020,3493020,7510000,26.8354053,67.6764526,209.15,-23.59,0.02,0.291,-27.352,-27.329,-27.62
1,493040,3493040,7510000,26.8358765,67.6764603,207.81,-23.62,0.017,0.289,-27.341,-27.321,-27.61
1,493060,3493060,7510000,26.8363476,67.6764603,206.71,-23.63,0.016,0.288,-27.319,-27.301,-27.589
1,493080,3493080,7510000,26.8368187,67.6764603,205.46,-23.61,0.014,0.286,-27.284,-27.268,-27.554
1,493100,3493100,7510000,26.8372898,67.6764603,204.92,-23.62,0.011,0.285,-27.291,-27.277,-27.563
1,493120,3493120,7510000,26.8377628,67.6764603,204.67,-23.61,0.009,0.285,-27.271,-27.26,-27.545
1,493140,3493140,7510000,26.8382339,67.6764603,204.88,-23.53,0.007,0.285,-27.204,-27.196,-27.481
1,493160,3493160,7510000,26.838707,67.6764603,204.7,-23.46,0.006,0.285,-27.131,-27.123,-27.408
1,493180,3493180,7510000,26.8391781,67.6764603,204.49,-23.47,0.006,0.285,-27.127,-27.12,-27.404
1,493200,3493200,7510000,26.8396492,67.6764603,204.43,-23.35,0.006,0.285,-27.046,-27.04,-27.325
1,493220,3493220,7510000,26.8401222,67.6764603,204.45,-23.43,0.005,0.285,-27.062,-27.056,-27.341
1,493240,3493240,7510000,26.8405933,67.6764603,204.28,-23.34,0.005,0.284,-26.988,-26.982,-27.266
1,493260,3493260,7510000,26.8410645,67.6764603,204.36,-23.38,0.005,0.285,-27.042,-27.036,-27.321
1,493280,3493280,7510000,26.8415356,67.6764603,203.86,-23.27,0.006,0.284,-26.985,-26.978,-27.262
1,493300,3493300,7510000,26.8420067,67.6764603,204.26,-23.31,0.005,0.284,-26.998,-26.992,-27.277
1,493320,3493320,7510000,26.8424797,67.6764603,204.4,-23.29,0.005,0.285,-26.964,-26.959,-27.243
1,493340,3493340,7510000,26.8429508,67.6764679,204.57,-23.31,0.005,0.285,-26.967,-26.962,-27.247
1,493360,3493360,7510000,26.8434219,67.6764679,204.71,-23.27,0.005,0.285,-26.941,-26.936,-27.221
1,493380,3493380,7510000,26.8438931,67.6764679,204.71,-23.21,0.005,0.285,-26.891,-26.885,-27.17
1,493400,3493400,7510000,26.8443642,67.6764679,204.58,-23.13,0.005,0.285,-26.822,-26.816,-27.101
1,493420,3493420,7510000,26.8448353,67.6764679,204.9,-23.11,0.005,0.285,-26.807,-26.801,-27.087
1,493440,3493440,7510000,26.8453083,67.6764679,205.04,-23.14,0.005,0.285,-26.814,-26.808,-27.094
1,493460,3493460,7510000,26.8457813,67.6764679,205.2,-23.02,0.005,0.286,-26.71,-26.705,-26.991
1,493480,3493480,7510000,26.8462524,67.6764679,205.09,-23,0.005,0.286,-26.67,-26.664,-26.95
1,493499,3493499,7510000,26.8466988,67.6764679,205.17,-22.93,0.005,0.286,-26.619,-26.614,-26.899
1,493520,3493520,7510000,26.8471947,67.6764679,205.06,-22.95,0.005,0.286,-26.623,-26.617,-26.903
1,493540,3493540,7510000,26.8476677,67.6764679,205.1,-22.95,0.005,0.286,-26.613,-26.606,-26.892
1,493560,3493560,7510000,26.8481388,67.6764679,205.13,-22.88,0.006,0.286,-26.571,-26.565,-26.85
1,493580,3493580,7510000,26.8486099,67.6764679,205.25,-22.87,0.006,0.286,-26.562,-26.555,-26.841
1,493600,3493600,7510000,26.849081,67.6764679,205.25,-22.88,0.006,0.286,-26.561,-26.554,-26.839
1,493620,3493620,7510000,26.8495522,67.6764679,205.52,-22.83,0.006,0.286,-26.521,-26.513,-26.799
1,493640,3493640,7510000,26.8500252,67.6764755,205.6,-22.81,0.007,0.286,-26.483,-26.474,-26.761
1,493660,3493660,7510000,26.8504963,67.6764755,206.14,-22.75,0.007,0.287,-26.429,-26.421,-26.708
1,493680,3493680,7510000,26.8509674,67.6764755,206.47,-22.7,0.007,0.287,-26.367,-26.359,-26.646
1,493700,3493700,7510000,26.8514385,67.6764755,206.86,-22.61,0.007,0.288,-26.272,-26.264,-26.551
1,493720,3493720,7510000,26.8519096,67.6764755,207,-22.42,0.007,0.288,-26.107,-26.098,-26.386
1,493740,3493740,7510000,26.8523827,67.6764755,207.39,-22.24,0.008,0.289,-25.97,-25.961,-26.249
1,493760,3493760,7510000,26.8528557,67.6764755,208.37,-22.03,0.008,0.29,-25.829,-25.82,-26.11
1,493780,3493780,7510000,26.8533268,67.6764755,208.73,-21.96,0.007,0.29,-25.738,-25.73,-26.02
1,493800,3493800,7510000,26.8537979,67.6764755,208.87,-21.8,0.006,0.291,-25.593,-25.585,-25.876
1,493820,3493820,7510000,26.854269,67.6764755,208.99,-21.69,0.006,0.291,-25.491,-25.484,-25.774
1,493840,3493840,7510000,26.8547421,67.6764755,209.07,-21.67,0.006,0.291,-25.428,-25.421,-25.712
1,493860,3493860,7510000,26.8552132,67.6764755,209.28,-21.51,0.006,0.291,-25.284,-25.277,-25.568
1,493880,3493880,7510000,26.8556843,67.6764755,209.46,-21.38,0.006,0.291,-25.166,-25.159,-25.451
1,493900,3493900,7510000,26.8561554,67.6764755,209.43,-21.25,0.006,0.291,-25.051,-25.044,-25.336
1,493920,3493920,7510000,26.8566265,67.6764755,209.55,-21.15,0.006,0.291,-24.974,-24.967,-25.258
1,493940,3493940,7510000,26.8570995,67.6764755,209.8,-21.11,0.006,0.292,-24.942,-24.935,-25.227
1,493960,3493960,7510000,26.8575706,67.6764755,210.04,-21.15,0.006,0.292,-24.945,-24.938,-25.23
1,493980,3493980,7510000,26.8580418,67.6764755,209.91,-21.11,0.006,0.292,-24.897,-24.889,-25.181
1,493999,3493999,7510000,26.85849,67.6764755,210.03,-21.06,0.006,0.292,-24.836,-24.829,-25.121
1,494020,3494020,7510000,26.858984,67.6764755,210.18,-20.95,0.006,0.292,-24.741,-24.734,-25.026
1,494040,3494040,7510000,26.859457,67.6764755,210.54,-20.94,0.006,0.293,-24.704,-24.697,-24.99
1,494060,3494060,7510000,26.85993,67.6764755,210.59,-20.79,0.006,0.293,-24.583,-24.576,-24.868
1,494080,3494080,7510000,26.8604012,67.6764755,210.74,-20.74,0.006,0.293,-24.55,-24.543,-24.836
1,494100,3494100,7510000,26.8608723,67.6764755,210.79,-20.73,0.006,0.293,-24.543,-24.536,-24.829
1,494120,3494120,7510000,26.8613434,67.6764755,210.77,-20.73,0.006,0.293,-24.54,-24.533,-24.826
1,494140,3494140,7510000,26.8618164,67.6764755,210.69,-20.57,0.007,0.293,-24.411,-24.403,-24.696
1,494160,3494160,7510000,26.8622875,67.6764755,210.89,-20.61,0.007,0.293,-24.408,-24.4,-24.693
1,494180,3494180,7510000,26.8627586,67.6764755,211.08,-20.51,0.007,0.293,-24.352,-24.344,-24.637
1,494200,3494200,7510000,26.8632298,67.6764755,211.38,-20.56,0.008,0.294,-24.393,-24.385,-24.678
1,494220,3494220,7510000,26.8637009,67.6764755,211.94,-20.59,0.007,0.295,-24.411,-24.403,-24.697
1,494240,3494240,7510000,26.8641739,67.6764755,212.23,-20.55,0.007,0.295,-24.385,-24.376,-24.671
1,494260,3494260,7510000,26.864645,67.6764755,212.41,-20.51,0.007,0.295,-24.344,-24.335,-24.63
1,494280,3494280,7510000,26.8651161,67.6764755,212.67,-20.42,0.007,0.296,-24.26,-24.252,-24.547
1,494300,3494300,7510000,26.8655872,67.6764755,212.88,-20.38,0.007,0.296,-24.202,-24.193,-24.489
1,494320,3494320,7510000,26.8660583,67.6764832,212.9,-20.32,0.008,0.296,-24.133,-24.124,-24.42
1,494340,3494340,7510000,26.8665314,67.6764832,212.87,-20.22,0.008,0.296,-24.041,-24.032,-24.328
1,494360,3494360,7510000,26.8670044,67.6764832,213.01,-20.16,0.008,0.296,-23.983,-23.974,-24.27
1,494380,3494380,7510000,26.8674755,67.6764832,213.13,-20.11,0.009,0.296,-23.927,-23.916,-24.213
1,494400,3494400,7510000,26.8679466,67.6764832,213.15,-19.96,0.01,0.296,-23.8,-23.789,-24.085
1,494420,3494420,7510000,26.8684177,67.6764832,213.36,-19.93,0.014,0.296,-23.771,-23.754,-24.051
1,494440,3494440,7510000,26.8688908,67.6764832,214.98,-19.89,0.013,0.299,-23.763,-23.748,-24.046
1,494460,3494460,7510000,26.8693619,67.6764832,216.13,-19.87,0.013,0.3,-23.753,-23.739,-24.039
1,494480,3494480,7510000,26.869833,67.6764832,216.43,-19.82,0.011,0.3,-23.705,-23.692,-23.993
1,494499,3494499,7510000,26.8702812,67.6764832,216.33,-19.76,0.01,0.3,-23.652,-23.641,-23.941
1,494520,3494520,7510000,26.8707752,67.6764832,215.82,-19.66,0.009,0.3,-23.577,-23.567,-23.866
1,494540,3494540,7510000,26.8712482,67.6764832,215.52,-19.7,0.009,0.299,-23.597,-23.586,-23.885
1,494560,3494560,7510000,26.8717194,67.6764832,215.6,-19.54,0.01,0.299,-23.481,-23.469,-23.769
1,494580,3494580,7510000,26.8721905,67.6764832,216.03,-19.59,0.01,0.3,-23.495,-23.484,-23.784
1,494600,3494600,7510000,26.8726616,67.6764832,216.09,-19.56,0.01,0.3,-23.472,-23.46,-23.76
1,494620,3494620,7510000,26.8731327,67.6764832,216.46,-19.52,0.011,0.301,-23.454,-23.442,-23.742
1,494640,3494640,7510000,26.8736057,67.6764832,216.7,-19.51,0.011,0.301,-23.454,-23.441,-23.742
1,494660,3494660,7510000,26.8740788,67.6764832,217.05,-19.56,0.011,0.301,-23.482,-23.469,-23.77
1,494680,3494680,7510000,26.8745499,67.6764908,217.41,-19.52,0.012,0.302,-23.451,-23.438,-23.739
1,494700,3494700,7510000,26.875021,67.6764908,217.89,-19.53,0.012,0.302,-23.462,-23.448,-23.75
1,494720,3494720,7510000,26.8754921,67.6764908,218.42,-19.55,0.012,0.303,-23.478,-23.464,-23.767
1,494740,3494740,7510000,26.8759632,67.6764908,219.1,-19.59,0.012,0.304,-23.508,-23.494,-23.798
1,494760,3494760,7510000,26.8764362,67.6764908,219.59,-19.56,0.012,0.305,-23.475,-23.461,-23.765
1,494780,3494780,7510000,26.8769073,67.6764908,219.71,-19.5,0.014,0.305,-23.433,-23.416,-23.721
1,494800,3494800,7510000,26.8773785,67.6764908,220.77,-19.45,0.014,0.306,-23.409,-23.393,-23.699
1,494820,3494820,7510000,26.8778496,67.6764908,221.47,-19.36,0.014,0.307,-23.342,-23.325,-23.632
1,494840,3494840,7510000,26.8783207,67.6764908,222.35,-19.34,0.016,0.308,-23.315,-23.297,-23.605
1,494860,3494860,7510000,26.8787937,67.6764908,223.71,-19.25,0.016,0.31,-23.272,-23.253,-23.563
1,494880,3494880,7510000,26.8792648,67.6764908,224.12,-19.17,0.014,0.311,-23.221,-23.205,-23.515
1,494900,3494900,7510000,26.8797359,67.6764908,224.27,-19.13,0.013,0.311,-23.201,-23.186,-23.497
1,494920,3494920,7510000,26.8802071,67.6764908,224.41,-19.1,0.012,0.311,-23.186,-23.172,-23.483
1,494940,3494940,7510000,26.8806801,67.6764908,224.73,-19.11,0.012,0.311,-23.199,-23.185,-23.496
1,494960,3494960,7510000,26.8811531,67.6764908,224.6,-19.13,0.011,0.311,-23.22,-23.208,-23.519
1,494980,3494980,7510000,26.8816242,67.6764908,224.62,-19.12,0.01,0.311,-23.213,-23.201,-23.512
1,494999,3494999,7510000,26.8820705,67.6764908,224.76,-19.17,0.01,0.311,-23.233,-23.221,-23.532
2,492000,3492000,7510100,26.8113441,67.6773224,207.3,-23.87,0.002,0.288,-27.628,-27.625,-27.914
2,492023,3492023,7510100,26.8118877,67.6773224,207.13,-23.87,0.002,0.288,-27.606,-27.604,-27.892
2,492043,3492043,7510100,26.8123589,67.6773224,207.16,-23.84,0.002,0.288,-27.575,-27.572,-27.861
2,492063,3492063,7510100,26.81283,67.6773224,207.24,-23.78,0.002,0.288,-27.528,-27.526,-27.814
2,492083,3492083,7510100,26.813303,67.6773224,207.08,-23.75,0.003,0.288,-27.499,-27.496,-27.784
2,492103,3492103,7510100,26.8137741,67.6773224,206.61,-23.77,0.002,0.288,-27.484,-27.481,-27.769
2,492123,3492123,7510100,26.8142452,67.6773224,206.3,-23.72,0.002,0.287,-27.439,-27.436,-27.723
2,492142,3492142,7510100,26.8146935,67.6773224,206.04,-23.6,0.002,0.287,-27.35,-27.347,-27.634
2,492162,3492162,7510100,26.8151665,67.67733,205.97,-23.57,0.002,0.287,-27.294,-27.292,-27.578
2,492182,3492182,7510100,26.8156376,67.67733,205.81,-23.52,0.002,0.287,-27.223,-27.221,-27.507
2,492202,3492202,7510100,26.8161087,67.67733,205.97,-23.48,0.002,0.287,-27.171,-27.169,-27.456
2,492222,3492222,7510100,26.8165798,67.67733,205.91,-23.35,0.002,0.287,-27.074,-27.071,-27.358
2,492242,3492242,7510100,26.8170509,67.67733,206.02,-23.26,0.002,0.287,-27.014,-27.012,-27.299
2,492261,3492261,7510100,26.8174992,67.67733,205.87,-23.29,0.002,0.287,-27.03,-27.027,-27.314
2,492281,3492281,7510100,26.8179722,67.67733,206.07,-23.28,0.002,0.287,-27.025,-27.023,-27.31
2,492301,3492301,7510100,26.8184433,67.67733,206.06,-23.3,0.002,0.287,-27.027,-27.025,-27.312
2,492321,3492321,7510100,26.8189144,67.67733,205.84,-23.23,0.002,0.287,-26.96,-26.958,-27.244
2,492341,3492341,7510100,26.8193874,67.67733,206.17,-23.2,0.002,0.287,-26.928,-26.926,-27.213
2,492361,3492361,7510100,26.8198586,67.67733,206.06,-23.22,0.002,0.287,-26.915,-26.913,-27.2
2,492380,3492380,7510100,26.8203049,67.67733,206.02,-23.16,0.002,0.287,-26.872,-26.869,-27.156
2,492400,3492400,7510100,26.820776,67.67733,205.96,-23.11,0.002,0.287,-26.84,-26.837,-27.124
2,492420,3492420,7510100,26.821249,67.6773376,205.84,-23.07,0.002,0.287,-26.811,-26.808,-27.095
2,492440,3492440,7510100,26.8217201,67.6773376,205.92,-23.08,0.002,0.287,-26.809,-26.807,-27.093
2,492460,3492460,7510100,26.8221931,67.6773376,205.73,-23.01,0.003,0.286,-26.753,-26.75,-27.036
2,492480,3492480,7510100,26.8226643,67.6773376,205.77,-23.03,0.003,0.286,-26.77,-26.767,-27.053
2,492499,3492499,7510100,26.8231125,67.6773376,205.76,-23.01,0.003,0.286,-26.765,-26.762,-27.048
2,492520,3492520,7510100,26.8236084,67.6773376,205.83,-23.11,0.003,0.287,-26.825,-26.822,-27.109
2,492540,3492540,7510100,26.8240795,67.6773376,205.84,-23.09,0.003,0.287,-26.8,-26.797,-27.083
2,492560,3492560,7510100,26.8245506,67.6773376,205.75,-23.12,0.003,0.286,-26.796,-26.792,-27.079
2,492580,3492580,7510100,26.8250217,67.6773376,205.7,-22.98,0.004,0.286,-26.703,-26.698,-26.985
2,492600,3492600,7510100,26.8254948,67.6773376,205.7,-22.87,0.004,0.286,-26.611,-26.606,-26.892
2,492620,3492620,7510100,26.8259659,67.6773376,205.7,-22.88,0.005,0.286,-26.595,-26.589,-26.875
2,492640,3492640,7510100,26.826437,67.6773376,205.61,-22.83,0.006,0.286,-26.555,-26.548,-26.834
2,492660,3492660,7510100,26.8269081,67.6773376,205.69,-22.78,0.008,0.286,-26.513,-26.504,-26.79
2,492680,3492680,7510100,26.8273792,67.6773376,206.21,-22.84,0.009,0.287,-26.566,-26.555,-26.842
2,492700,3492700,7510100,26.8278522,67.6773453,206.73,-22.88,0.011,0.288,-26.606,-26.594,-26.881
2,492720,3492720,7510100,26.8283234,67.6773453,206.71,-22.83,0.02,0.288,-26.601,-26.578,-26.866
2,492740,3492740,7510100,26.8287964,67.6773453,208.5,-23.03,0.019,0.29,-26.798,-26.776,-27.066
2,492760,3492760,7510100,26.8292675,67.6773453,209.79,-22.97,0.022,0.292,-26.827,-26.801,-27.093
2,492780,3492780,7510100,26.8297386,67.6773453,211.51,-23.07,0.026,0.294,-26.938,-26.908,-27.202
2,492800,3492800,7510100,26.8302116,67.6773453,213.6,-23.23,0.03,0.297,-27.101,-27.066,-27.363
2,492820,3492820,7510100,26.8306828,67.6773453,214.29,-23.22,0.027,0.298,-27.114,-27.082,-27.38
2,492840,3492840,7510100,26.8311539,67.6773453,214.36,-23.21,0.025,0.298,-27.109,-27.081,-27.379
2,492860,3492860,7510100,26.831625,67.6773453,214.32,-23.32,0.024,0.298,-27.165,-27.137,-27.434
2,492880,3492880,7510100,26.8320961,67.6773453,213.94,-23.4,0.025,0.297,-27.206,-27.177,-27.474
2,492900,3492900,7510100,26.8325691,67.6773453,213.14,-23.44,0.026,0.296,-27.219,-27.189,-27.485
2,492920,3492920,7510100,26.8330402,67.6773453,211.42,-23.38,0.021,0.294,-27.161,-27.136,-27.43
2,492940,3492940,7510100,26.8335114,67.6773453,210.37,-23.38,0.019,0.293,-27.134,-27.112,-27.405
2,492960,3492960,7510100,26.8339825,67.6773453,209.38,-23.42,0.017,0.291,-27.133,-27.113,-27.404
2,492980,3492980,7510100,26.8344536,67.6773529,208.59,-23.37,0.015,0.29,-27.1,-27.082,-27.372
2,492999,3492999,7510100,26.8349037,67.6773529,208.04,-23.31,0.014,0.289,-27.053,-27.036,-27.326
2,493020,3493020,7510100,26.8353977,67.6773529,207.16,-23.34,0.013,0.288,-27.064,-27.048,-27.337
2,493040,3493040,7510100,26.8358707,67.6773529,206.21,-23.34,0.012,0.287,-27.047,-27.033,-27.32
2,493060,3493060,7510100,26.8363419,67.6773529,205.62,-23.35,0.011,0.286,-27.045,-27.033,-27.319
2,493080,3493080,7510100,26.8368149,67.6773529,204.98,-23.48,0.01,0.285,-27.135,-27.124,-27.409
2,493100,3493100,7510100,26.837286,67.6773529,204.85,-23.4,0.008,0.285,-27.1,-27.09,-27.376
2,493120,3493120,7510100,26.8377571,67.6773529,204.69,-23.38,0.007,0.285,-27.084,-27.075,-27.36
2,493140,3493140,7510100,26.8382282,67.6773529,204.72,-23.45,0.006,0.285,-27.128,-27.121,-27.406
2,493160,3493160,7510100,26.8386993,67.6773529,204.8,-23.44,0.006,0.285,-27.11,-27.103,-27.388
2,493180,3493180,7510100,26.8391724,67.6773529,204.51,-23.4,0.006,0.285,-27.073,-27.066,-27.351
2,493200,3493200,7510100,26.8396435,67.6773529,204.53,-23.42,0.005,0.285,-27.064,-27.058,-27.343
2,493220,3493220,7510100,26.8401146,67.6773529,204.32,-23.34,0.005,0.285,-26.98,-26.974,-27.258
2,493240,3493240,7510100,26.8405857,67.6773529,204.43,-23.34,0.005,0.285,-26.969,-26.963,-27.248
2,493260,3493260,7510100,26.8410568,67.6773605,204.26,-23.24,0.005,0.284,-26.918,-26.912,-27.197
2,493280,3493280,7510100,26.8415298,67.6773605,204.14,-23.23,0.005,0.284,-26.921,-26.915,-27.199
2,493300,3493300,7510100,26.842001,67.6773605,204.36,-23.18,0.005,0.285,-26.88,-26.874,-27.159
2,493320,3493320,7510100,26.8424721,67.6773605,204.44,-23.17,0.005,0.285,-26.841,-26.836,-27.121
2,493340,3493340,7510100,26.8429451,67.6773605,204.4,-23.09,0.005,0.285,-26.764,-26.759,-27.044
2,493360,3493360,7510100,26.8434162,67.6773605,204.47,-23.01,0.005,0.285,-26.701,-26.696,-26.981
2,493380,3493380,7510100,26.8438892,67.6773605,204.59,-22.99,0.005,0.285,-26.675,-26.669,-26.954
2,493400,3493400,7510100,26.8443604,67.6773605,204.58,-22.94,0.005,0.285,-26.626,-26.62,-26.905
2,493420,3493420,7510100,26.8448315,67.6773605,204.48,-22.86,0.005,0.285,-26.547,-26.541,-26.826
2,493440,3493440,7510100,26.8453026,67.6773605,204.51,-22.77,0.005,0.285,-26.47,-26.464,-26.749
2,493460,3493460,7510100,26.8457737,67.6773605,204.7,-22.73,0.005,0.285,-26.44,-26.434,-26.719
2,493480,3493480,7510100,26.8462467,67.6773605,204.57,-22.81,0.005,0.285,-26.495,-26.489,-26.774
2,493499,3493499,7510100,26.846693,67.6773605,204.75,-22.76,0.005,0.285,-26.455,-26.449,-26.734
2,493520,3493520,7510100,26.8471889,67.6773605,204.75,-22.71,0.006,0.285,-26.402,-26.395,-26.68
2,493540,3493540,7510100,26.8476601,67.6773605,204.68,-22.65,0.006,0.285,-26.341,-26.334,-26.619
2,493560,3493560,7510100,26.8481312,67.6773682,204.75,-22.59,0.006,0.285,-26.291,-26.283,-26.569
2,493580,3493580,7510100,26.8486042,67.6773682,204.74,-22.56,0.007,0.285,-26.261,-26.253,-26.538
2,493600,3493600,7510100,26.8490753,67.6773682,204.92,-22.54,0.007,0.285,-26.243,-26.235,-26.52
2,493620,3493620,7510100,26.8495464,67.6773682,205.22,-22.56,0.007,0.286,-26.249,-26.241,-26.527
2,493640,3493640,7510100,26.8500195,67.6773682,205.47,-22.59,0.007,0.286,-26.251,-26.243,-26.529
2,493660,3493660,7510100,26.8504925,67.6773682,205.61,-22.52,0.008,0.286,-26.2,-26.191,-26.477
2,493680,3493680,7510100,26.8509636,67.6773682,206.11,-22.5,0.008,0.287,-26.177,-26.167,-26.454
2,493700,3493700,7510100,26.8514347,67.6773682,206.58,-22.49,0.008,0.288,-26.152,-26.143,-26.43
2,493720,3493720,7510100,26.8519058,67.6773682,207.16,-22.43,0.009,0.288,-26.094,-26.084,-26.372
2,493740,3493740,7510100,26.8523769,67.6773682,207.67,-22.25,0.009,0.289,-25.975,-25.964,-26.253
2,493760,3493760,7510100,26.85285,67.6773682,208.41,-22.16,0.009,0.29,-25.907,-25.897,-26.186
2,493780,3493780,7510100,26.8533211,67.6773682,208.8,-21.99,0.008,0.29,-25.754,-25.745,-26.035
2,493800,3493800,7510100,26.8537922,67.6773682,208.97,-21.81,0.008,0.291,-25.587,-25.578,-25.869
2,493820,3493820,7510100,26.8542633,67.6773682,209.37,-21.67,0.008,0.291,-25.45,-25.44,-25.732
